COLOR WI,COLOR YI,ODOR LVL,VOLATILE,Antiblock Type,,AO2 Type,,AO1,AO2/AO1 Ratio,Acid Scavenger,Slip Agent,Gels Performance,,,,
,,,,,,,,,,,,FE-S,FE-M,FE-L,Defect Area,Judgement
,,,,Silton,AB-GASIL,IRG-168,W399,Ir-1076,,ZNST,errucamide,,,,,
54.140,-5.200,2.000,0.027,0.000,0.172,0.095,0.000,0.045,2.111,0.045,0.091,7.700,1.300,0.000,3.800,Non Low Gel
53.180,-5.380,2.000,0.009,0.000,0.172,0.095,0.000,0.046,2.065,0.046,0.100,7.400,1.000,0.000,3.250,Non Low Gel
52.880,-4.940,2.000,0.036,0.000,0.184,0.101,0.000,0.050,2.020,0.050,0.115,3.800,0.600,0.000,1.660,Non Low Gel
53.210,-5.090,2.000,0.007,0.000,0.184,0.100,0.000,0.049,2.041,0.049,0.115,3.300,0.500,0.000,1.390,Non Low Gel
51.630,-4.390,2.000,0.007,0.000,0.201,0.099,0.000,0.046,2.152,0.046,0.119,6.600,0.600,0.000,2.200,Non Low Gel
53.150,-5.210,2.000,0.028,0.000,0.185,0.102,0.000,0.051,2.000,0.051,0.126,4.300,0.000,0.000,2.360,Low Gel
53.830,-5.270,2.000,0.013,0.000,0.191,0.106,0.000,0.051,2.078,0.051,0.110,2.200,0.200,0.000,0.000,Low Gel
52.930,-4.590,2.000,0.011,0.000,0.192,0.101,0.000,0.050,2.020,0.050,0.115,2.700,0.500,0.000,1.260,Non Low Gel
52.780,-4.810,2.000,0.025,0.000,0.191,0.103,0.000,0.050,2.060,0.050,0.118,3.000,0.300,0.000,1.150,Low Gel
53.590,-4.800,2.000,0.007,0.000,0.197,0.103,0.000,0.049,2.102,0.049,0.082,2.300,0.200,0.000,0.940,Low Gel
53.040,-4.780,2.000,0.046,0.000,0.194,0.102,0.000,0.051,2.000,0.051,0.109,3.700,0.500,0.000,1.600,Non Low Gel
53.080,-4.770,2.000,0.011,0.000,0.192,0.100,0.000,0.050,2.000,0.050,0.104,2.800,0.400,0.000,1.250,Non Low Gel
54.090,-4.810,2.000,0.014,0.000,0.212,0.103,0.000,0.052,1.981,0.052,0.118,3.400,0.400,0.000,1.340,Non Low Gel
54.210,-4.870,2.000,0.019,0.000,0.185,0.097,0.000,0.049,1.980,0.049,0.114,2.300,0.300,0.000,0.990,Low Gel
54.490,-5.300,2.000,0.007,0.000,0.183,0.098,0.000,0.052,1.885,0.052,0.110,3.000,0.300,0.000,1.110,Low Gel
54.260,-4.860,2.000,0.007,0.000,0.188,0.100,0.000,0.050,2.000,0.050,0.114,2.600,0.300,0.000,1.010,Low Gel
54.810,-4.570,2.000,0.011,0.000,0.192,0.101,0.000,0.051,1.980,0.051,0.115,2.500,0.300,0.000,1.130,Low Gel
55.370,-4.960,2.000,0.019,0.000,0.202,0.102,0.000,0.051,2.000,0.051,0.107,3.700,0.500,0.000,1.600,Non Low Gel
